frame_no,timestamp,size_px-mediumseagreen,position_px_x-mediumseagreen,position_px_y-mediumseagreen,rx-mediumseagreen,ry-mediumseagreen,vx-mediumseagreen,vy-mediumseagreen,ax-mediumseagreen,ay-mediumseagreen
5,313.9,8,542,3,,,,,,
6,346.3,8,542,3,,,,,,
7,445.8,8,542,3,,,,,,
8,481.6,8,542,3,,,,,,
9,513.3,8,542,3,,,,,,
10,545.5,8,542,2,,,,,,
11,581.2,8,542,3,,,,,,
12,648.7,8,543,3,,,,,,
13,713.1,8,543,3,,,,,,
14,745.3,8,543,3,,,,,,
15,813.4,8,543,3,,,,,,
16,845.3,8,543,3,,,,,,
17,883.2,8,543,3,,,,,,
18,920.7,8,543,3,,,,,,
19,946.3,8,543,3,,,,,,
20,1013.1,8,543,3,,,,,,
21,1045.3,8,543,3,,,,,,
22,1081.4,8,543,3,,,,,,
23,1114.1,8,543,3,,,,,,
24,1145.6,8,543,3,,,,,,
25,1245,8,545,11,,,,,,
26,1282.1,8,545,16,,,,,,
27,1313.7,8,546,22,,,,,,
28,1381,8,547,34,,,,,,
29,1445.1,8,548,47,,,,,,
30,1481.1,8,549,55,,,,,,
31,1513.2,8,549,63,,,,,,
32,1547.5,8,549,72,,,,,,
33,1613.1,8,551,90,,,,,,
34,1647.5,8,551,99,,,,,,
35,1681.7,8,552,109,,,,,,
36,1780.8,8,553,142,,,,,,
37,1845.1,8,555,166,,,,,,
38,1881.4,8,555,178,,,,,,
39,2014.5,8,557,232,,,,,,
40,2081,8,558,261,,,,,,
41,2113.4,8,559,276,,,,,,
42,2145.2,8,559,291,,,,,,
43,2181.2,8,560,306,,,,,,
44,2213.5,7,560,322,,,,,,
45,2345.2,7,561,389,,,,,,
46,2382.5,8,562,407,,,,,,
47,2445.3,8,562,443,,,,,,
48,2481,8,562,461,,,,,,
49,2516.1,8,562,480,,,,,,
50,2577.1,8,562,519,,,,,,
51,2680.9,8,562,578,,,,,,
52,2713.1,8,562,599,,,,,,
53,2781,8,561,641,,,,,,
54,2813.5,8,562,663,,,,,,
55,2881,8,561,707,,,,,,
56,2945,8,560,753,,,,,,
57,2981.4,8,560,776,,,,,,
58,3014.2,8,560,800,,,,,,
59,3181.2,8,559,924,,,,,,
60,3245.2,8,557,926,,,,,,
