frame_no,timestamp,size_px-mediumseagreen,position_px_x-mediumseagreen,position_px_y-mediumseagreen,rx-mediumseagreen,ry-mediumseagreen,vx-mediumseagreen,vy-mediumseagreen,ax-mediumseagreen,ay-mediumseagreen
2,221.1,7,563,12,,,,,,
4,286.4,8,565,12,,,,,,
5,317.0,8,566,13,,,,,,
6,416.6,8,566,13,,,,,,
7,449.1,8,566,13,,,,,,
8,584.6,8,566,13,,,,,,
9,648.4,8,565,12,,,,,,
10,685.0,8,565,12,,,,,,
11,716.7,8,565,12,,,,,,
12,748.8,8,565,12,,,,,,
13,917.7,8,565,12,,,,,,
14,951.0,8,565,12,,,,,,
15,999.7,8,565,12,,,,,,
16,1084.1,8,565,12,,,,,,
17,1116.7,8,565,12,,,,,,
18,1216.4,8,566,13,,,,,,
19,1284.2,8,566,14,,,,,,
20,1318.5,8,567,16,,,,,,
21,1348.6,8,567,20,,,,,,
22,1384.5,8,568,25,,,,,,
23,1484.1,8,575,41,,,,,,
24,1516.8,8,577,49,,,,,,
25,1551.0,8,579,57,,,,,,
26,1584.4,8,581,66,,,,,,
27,1616.8,8,583,75,,,,,,
28,1648.7,8,586,86,,,,,,
29,1748.5,8,592,123,,,,,,
30,1785.1,8,595,137,,,,,,
31,1884.0,8,601,184,,,,,,
32,1916.4,8,603,201,,,,,,
33,1948.8,8,606,219,,,,,,
34,1984.4,8,608,237,,,,,,
35,2016.9,8,611,256,,,,,,
36,2048.9,8,613,276,,,,,,
37,2116.1,8,617,318,,,,,,
38,2184.2,7,621,362,,,,,,
39,2284.0,7,628,433,,,,,,
40,2316.5,7,630,458,,,,,,
41,2348.8,7,632,483,,,,,,
42,2416.3,7,637,536,,,,,,
43,2449.2,7,639,564,,,,,,
44,2484.4,7,641,591,,,,,,
45,2516.5,7,643,620,,,,,,
46,2551.3,7,646,649,,,,,,
47,2588.5,7,647,679,,,,,,
48,2616.4,7,650,709,,,,,,
49,2684.1,7,654,772,,,,,,
50,2716.4,7,657,805,,,,,,
51,2750.0,7,659,838,,,,,,
52,2784.6,7,661,872,,,,,,
53,2884.1,8,666,915,,,,,,
54,2916.5,8,667,895,,,,,,
55,2951.4,8,669,875,,,,,,
56,2984.4,7,670,856,,,,,,
57,3016.8,8,671,837,,,,,,
58,3116.4,7,675,787,,,,,,
59,3148.6,7,676,771,,,,,,
60,3216.2,7,678,742,,,,,,
61,3248.6,7,679,729,,,,,,
62,3284.4,7,681,716,,,,,,
63,3348.3,7,683,693,,,,,,
64,3416.1,7,686,673,,,,,,
65,3455.5,8,687,664,,,,,,
66,3484.5,7,688,655,,,,,,
67,3516.5,7,690,647,,,,,,
68,3584.1,7,693,634,,,,,,
69,3618.8,8,694,629,,,,,,
70,3716.1,7,698,616,,,,,,
71,3748.6,7,699,614,,,,,,
